τb,ρ_τ,Vss,VinitFO,VinitSO
0.21,0.0,-75.63937110635948,-75.65354413121801,23052.395352835127
0.224,0.0,-75.54894988408252,-75.57821648006721,-75.5782644033448
0.238,0.0,-75.46124215807922,-75.50593833963732,-75.50605050001901
0.252,0.0,-75.37544151894836,-75.43712490697504,-75.43733898399535
0.266,0.0,-75.2897100697977,-75.36665380529665,-75.36698751375023
0.28,0.0,-75.20772629037613,-75.29984796674117,-75.3003269286142
0.294,0.0,-75.16284079082897,-75.27529417387237,-75.27600905530744
0.336,0.0,-74.94049045263543,-78.83502795723341,9.940057233841663e11
0.35,0.0,-74.87184201922081,-75.01109313807422,-1.1938194939985794e60
0.378,0.0,-74.70760320732279,-74.8956053673179,-74.89759674971901
0.392,0.0,-74.65754454355775,-974.437159491461,1.4942920909570293e74
0.406,0.0,-74.59785305108903,-74.8097609903755,-74.81228897944384
0.42,0.0,-74.53421702034044,1970.2879318524112,-3.681415623959234e125
0.434,0.0,-74.48200328254232,-74.71431270300715,-74.71638328156742
0.448,0.0,-74.43268016079355,-74.67468466825468,-74.67737717071654
0.462,0.0,-74.39729912602125,-74.65083909329887,-74.65442362243701
0.476,0.0,-74.34293825792469,-74.6025392607756,-74.60626275769971
0.49,0.0,-74.30246097624693,-74.57002699282272,-74.57394123099255
0.504,0.0,-74.26512354235118,-74.54030947613084,-74.54439377263158
0.518,0.0,-74.23145249819544,-74.51303608206372,-74.51723597242666
0.532,0.0,-74.20130825574637,-74.48857376243392,-74.49284177804354
0.546,0.0,-74.17575585654049,-74.46650039057371,-74.47073411896471
0.56,0.0,-74.15251401645622,-74.44764816098879,-74.45183392712144
0.574,0.0,-74.1331377242908,-74.43279915182632,-74.43689010821763
0.588,0.0,-74.11820015453966,-74.42020088808304,-74.42406347058031
0.602,0.0,-74.10692071968103,-74.41178908921275,-74.41536608437087
0.616,0.0,-74.10028287197298,-74.40637589431246,-74.40953371261345
0.63,0.0,-74.09859140831084,-74.40427923350099,-74.40688246488442
0.644,0.0,-74.10047277400227,-74.40655267992248,-74.40853947237537
0.658,0.0,-74.10666204144681,-74.41266362815928,-74.41393923836503
0.672,0.0,-74.11693637782481,-74.42269743922056,-74.4231819386115
0.686,0.0,-74.13108088803907,-74.43659831363716,-74.43621684318296
0.7,0.0,-74.14901390789673,-74.45392629991592,-74.45259256361564
